hand,climb_index,move_index,start_time,end_time,on_hold,duration,climb
left,0,0,2021-02-25 13:13:15.500000+00:00,2021-02-25 13:13:16.299999952+00:00,3.5399999618530273,0.7999999520000001,0
right,0,0,2021-02-25 13:13:16.400000095+00:00,2021-02-25 13:13:17.299999952+00:00,4.440000057220459,0.8999998570000001,0
right,0,1,2021-02-25 13:13:19.900000095+00:00,2021-02-25 13:13:20.700000048+00:00,2.6000001430511475,0.799999953,0
left,0,1,2021-02-25 13:13:21.099999905+00:00,2021-02-25 13:13:22+00:00,4.799999952316284,0.9000000950000001,0
right,0,2,2021-02-25 13:13:22+00:00,2021-02-25 13:13:23+00:00,1.2999999523162842,1.0,0
right,0,3,2021-02-25 13:13:26.200000048+00:00,2021-02-25 13:13:27.200000048+00:00,3.200000047683716,1.0,0
left,0,2,2021-02-25 13:13:29.500000+00:00,2021-02-25 13:13:30.500000+00:00,7.5,1.0,0
left,0,3,2021-02-25 13:13:33.599999905+00:00,2021-02-25 13:13:34.299999952+00:00,3.0999999046325684,0.7000000470000001,0
left,0,4,2021-02-25 13:13:37.799999952+00:00,2021-02-25 13:13:38.799999952+00:00,3.5,1.0,0
left,0,5,2021-02-25 13:13:42.900000095+00:00,2021-02-25 13:13:43.700000048+00:00,4.1000001430511475,0.799999953,0
right,0,4,2021-02-25 13:13:43.700000048+00:00,2021-02-25 13:13:44.700000048+00:00,16.5,1.0,0
left,0,6,2021-02-25 13:13:46.200000048+00:00,2021-02-25 13:13:47.200000048+00:00,2.5,1.0,0
left,0,7,2021-02-25 13:13:48.099999905+00:00,2021-02-25 13:13:49.500000+00:00,0.8999998569488525,1.400000095,0
left,0,8,2021-02-25 13:13:52.900000095+00:00,2021-02-25 13:13:53.900000095+00:00,3.4000000953674316,1.0,0
right,0,5,2021-02-25 13:13:53.599999905+00:00,2021-02-25 13:13:54.599999905+00:00,8.899999856948853,1.0,0
left,0,9,2021-02-25 13:13:57.099999905+00:00,2021-02-25 13:13:58.599999905+00:00,3.1999998092651367,1.5,0
right,0,6,2021-02-25 13:13:58.599999905+00:00,2021-02-25 13:13:59.799999952+00:00,4.0,1.200000047,0
left,0,10,2021-02-25 13:14:01.400000095+00:00,2021-02-25 13:14:02.299999952+00:00,2.8000001907348633,0.8999998570000001,0
right,0,7,2021-02-25 13:14:02.299999952+00:00,2021-02-25 13:14:03.400000095+00:00,2.5,1.1000001430000002,0
left,0,11,2021-02-25 13:14:06.500000+00:00,2021-02-25 13:14:07.599999905+00:00,4.200000047683716,1.099999905,0
right,0,8,2021-02-25 13:14:07.799999952+00:00,2021-02-25 13:14:08.400000095+00:00,4.3999998569488525,0.600000143,0
left,0,12,2021-02-25 13:14:14.299999952+00:00,2021-02-25 13:14:15.200000048+00:00,6.700000047683716,0.9000000960000001,0
left,0,13,2021-02-25 13:14:17.299999952+00:00,2021-02-25 13:14:18.200000048+00:00,2.0999999046325684,0.9000000960000001,0
left,0,14,2021-02-25 13:14:20.700000048+00:00,2021-02-25 13:14:21.700000048+00:00,2.5,1.0,0
left,0,15,2021-02-25 13:14:25+00:00,2021-02-25 13:14:25.799999952+00:00,3.299999952316284,0.7999999520000001,0
left,0,16,2021-02-25 13:14:27.799999952+00:00,2021-02-25 13:14:28.700000048+00:00,2.0,0.9000000960000001,0
right,0,9,2021-02-25 13:14:28.299999952+00:00,2021-02-25 13:14:29.299999952+00:00,19.899999856948853,1.0,0
left,0,17,2021-02-25 13:14:34.900000095+00:00,2021-02-25 13:14:35.900000095+00:00,6.200000047683716,1.0,0
left,0,18,2021-02-25 13:14:39.200000048+00:00,2021-02-25 13:14:40.299999952+00:00,3.299999952316284,1.0999999040000001,0
right,0,10,2021-02-25 13:14:40.599999905+00:00,2021-02-25 13:14:41.099999905+00:00,11.299999952316284,0.5,0
left,0,19,2021-02-25 13:14:46.299999952+00:00,2021-02-25 13:14:47.200000048+00:00,6.0,0.9000000960000001,0
right,0,11,2021-02-25 13:14:47.900000095+00:00,2021-02-25 13:14:48.799999952+00:00,6.800000190734863,0.8999998570000001,0
left,0,20,2021-02-25 13:14:50.700000048+00:00,2021-02-25 13:14:51.900000095+00:00,3.5,1.200000047,0
right,0,12,2021-02-25 13:14:52.799999952+00:00,2021-02-25 13:14:54.299999952+00:00,4.0,1.5,0
left,0,21,2021-02-25 13:14:55.299999952+00:00,2021-02-25 13:14:56.099999905+00:00,3.3999998569488525,0.799999953,0
left,0,22,2021-02-25 13:15:00.400000095+00:00,2021-02-25 13:15:01.400000095+00:00,4.300000190734863,1.0,0
right,0,13,2021-02-25 13:15:02.299999952+00:00,2021-02-25 13:15:03.299999952+00:00,8.0,1.0,0
right,0,14,2021-02-25 13:15:04.599999905+00:00,2021-02-25 13:15:05.400000095+00:00,1.2999999523162842,0.80000019,0
left,0,23,2021-02-25 13:15:05.299999952+00:00,2021-02-25 13:15:06.099999905+00:00,3.8999998569488525,0.799999953,0
left,0,24,2021-02-25 13:15:08.099999905+00:00,2021-02-25 13:15:09.200000048+00:00,2.0,1.1000001430000002,0
right,0,15,2021-02-25 13:15:09.200000048+00:00,2021-02-25 13:15:10+00:00,3.799999952316284,0.7999999520000001,0
left,0,25,2021-02-25 13:15:12+00:00,2021-02-25 13:15:13.400000095+00:00,2.799999952316284,1.400000095,0
right,0,16,2021-02-25 13:15:13.900000095+00:00,2021-02-25 13:15:15.500000+00:00,3.9000000953674316,1.599999905,0
left,0,26,2021-02-25 13:15:17+00:00,2021-02-25 13:15:18+00:00,3.5999999046325684,1.0,0
right,0,17,2021-02-25 13:15:18.700000048+00:00,2021-02-25 13:15:19.700000048+00:00,3.200000047683716,1.0,0
left,0,27,2021-02-25 13:15:22.099999905+00:00,2021-02-25 13:15:23.200000048+00:00,4.099999904632568,1.1000001430000002,0
right,0,18,2021-02-25 13:15:24.299999952+00:00,2021-02-25 13:15:25.099999905+00:00,4.599999904632568,0.799999953,0
left,0,28,2021-02-25 13:15:26.400000095+00:00,2021-02-25 13:15:27.599999905+00:00,3.200000047683716,1.19999981,0
right,0,19,2021-02-25 13:15:29.299999952+00:00,2021-02-25 13:15:30+00:00,4.200000047683716,0.700000048,0
left,0,29,2021-02-25 13:15:31.599999905+00:00,2021-02-25 13:15:32.700000048+00:00,4.0,1.1000001430000002,0
left,0,30,2021-02-25 13:15:34.400000095+00:00,2021-02-25 13:15:35.700000048+00:00,1.7000000476837158,1.2999999530000002,0
left,0,31,2021-02-25 13:15:36.500000+00:00,2021-02-25 13:15:37.099999905+00:00,0.7999999523162842,0.599999905,0
left,0,32,2021-02-25 13:15:38.400000095+00:00,2021-02-25 13:15:39.500000+00:00,1.3000001907348633,1.099999905,0
right,0,20,2021-02-25 13:15:42.900000095+00:00,2021-02-25 13:15:43.799999952+00:00,12.900000095367432,0.8999998570000001,0
left,0,33,2021-02-25 13:15:46.200000048+00:00,2021-02-25 13:15:47+00:00,6.700000047683716,0.7999999520000001,0
left,0,34,2021-02-25 13:15:49.400000095+00:00,2021-02-25 13:15:50.099999905+00:00,2.4000000953674316,0.69999981,0
right,0,21,2021-02-25 13:15:50.500000+00:00,2021-02-25 13:15:51.500000+00:00,6.700000047683716,1.0,0
right,0,22,2021-02-25 13:15:56.400000095+00:00,2021-02-25 13:15:57+00:00,4.900000095367432,0.599999905,0
left,0,35,2021-02-25 13:15:56.799999952+00:00,2021-02-25 13:15:57.900000095+00:00,6.700000047683716,1.1000001430000002,0
right,0,23,2021-02-25 13:15:58.599999905+00:00,2021-02-25 13:15:59.099999905+00:00,1.5999999046325684,0.5,0
right,0,24,2021-02-25 13:16:02.299999952+00:00,2021-02-25 13:16:03.200000048+00:00,3.200000047683716,0.9000000960000001,0
