hand,climb_index,move_index,start_time,end_time,on_hold,duration,climb
right,0,0,2021-02-25 13:30:38.640000105+00:00,2021-02-25 13:30:39.740000010+00:00,3.140000104904175,1.099999905,0
left,0,0,2021-02-25 13:30:40.039999962+00:00,2021-02-25 13:30:40.940000057+00:00,4.539999961853027,0.9000000950000001,0
left,0,1,2021-02-25 13:30:43.140000105+00:00,2021-02-25 13:30:44.440000057+00:00,2.200000047683716,1.299999952,0
left,0,2,2021-02-25 13:30:46.140000105+00:00,2021-02-25 13:30:47.140000105+00:00,1.7000000476837158,1.0,0
right,0,1,2021-02-25 13:30:47.339999914+00:00,2021-02-25 13:30:47.940000057+00:00,7.599999904632568,0.600000143,0
right,0,2,2021-02-25 13:30:48.539999962+00:00,2021-02-25 13:30:49.140000105+00:00,0.5999999046325684,0.600000143,0
left,0,3,2021-02-25 13:30:50.839999914+00:00,2021-02-25 13:30:52.039999962+00:00,3.6999998092651367,1.2000000480000002,0
right,0,3,2021-02-25 13:30:54.539999962+00:00,2021-02-25 13:30:55.839999914+00:00,5.3999998569488525,1.299999952,0
left,0,4,2021-02-25 13:30:55.440000057+00:00,2021-02-25 13:30:56.440000057+00:00,3.4000000953674316,1.0,0
right,0,4,2021-02-25 13:30:58.539999962+00:00,2021-02-25 13:30:59.440000057+00:00,2.700000047683716,0.9000000950000001,0
left,0,5,2021-02-25 13:31:00.839999914+00:00,2021-02-25 13:31:01.839999914+00:00,4.3999998569488525,1.0,0
right,0,5,2021-02-25 13:31:03.039999962+00:00,2021-02-25 13:31:04.140000105+00:00,3.5999999046325684,1.1000001430000002,0
left,0,6,2021-02-25 13:31:05.339999914+00:00,2021-02-25 13:31:06.339999914+00:00,3.5,1.0,0
right,0,6,2021-02-25 13:31:07.839999914+00:00,2021-02-25 13:31:08.640000105+00:00,3.6999998092651367,0.8000001910000001,0
left,0,7,2021-02-25 13:31:09.740000010+00:00,2021-02-25 13:31:10.740000010+00:00,3.4000000953674316,1.0,0
right,0,7,2021-02-25 13:31:11.940000057+00:00,2021-02-25 13:31:13.140000105+00:00,3.299999952316284,1.2000000480000002,0
left,0,8,2021-02-25 13:31:14.339999914+00:00,2021-02-25 13:31:15.440000057+00:00,3.5999999046325684,1.1000001430000002,0
right,0,8,2021-02-25 13:31:16.940000057+00:00,2021-02-25 13:31:17.640000105+00:00,3.799999952316284,0.700000048,0
left,0,9,2021-02-25 13:31:20.539999962+00:00,2021-02-25 13:31:22.440000057+00:00,5.099999904632568,1.9000000950000002,0
right,0,9,2021-02-25 13:31:24.440000057+00:00,2021-02-25 13:31:25.640000105+00:00,6.799999952316284,1.2000000480000002,0
left,0,10,2021-02-25 13:31:26.440000057+00:00,2021-02-25 13:31:27.839999914+00:00,4.0,1.399999857,0
right,0,10,2021-02-25 13:31:27.539999962+00:00,2021-02-25 13:31:28.640000105+00:00,1.8999998569488525,1.1000001430000002,0
left,0,11,2021-02-25 13:31:29.539999962+00:00,2021-02-25 13:31:30.539999962+00:00,1.7000000476837158,1.0,0
right,0,11,2021-02-25 13:31:31.940000057+00:00,2021-02-25 13:31:32.940000057+00:00,3.299999952316284,1.0,0
left,0,12,2021-02-25 13:31:33.039999962+00:00,2021-02-25 13:31:34.740000010+00:00,2.5,1.7000000480000002,0
right,0,12,2021-02-25 13:31:36.539999962+00:00,2021-02-25 13:31:37.740000010+00:00,3.5999999046325684,1.2000000480000002,0
right,0,13,2021-02-25 13:31:38.839999914+00:00,2021-02-25 13:31:40.039999962+00:00,1.0999999046325684,1.2000000480000002,0
